"RegionName","State","Metro","CountyName","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09"
"New York","NY","New York","Queens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441100,451500,467900,473700,472300,489900,509700,523500,526700,522500,519800,527000,534400,547700,557800,567300,572400,577600,579800,584600,581700,577800,570000,560100,557900,570700,579500,580000,575100,571100,573400,581500,578400,567500,569200,576000,564700,553200,560600,568700,566600,563500,558500,551500,546300,542100,530500,518000,513700,514400,516100,511500,505100,507400,515900,520100,522100,518200,513700,517000,520600,516900,513200,510600,507300,502300,499300,500900,497800,492000,489200,488600,491000,498500,498000,492900,492600,497500,501300,502300,500500,499300,496800,500000,509000,518900,526900,532300,531300,528700,523400,519800,523000,528000,523600,517000,514200,516200,517900,521900,530400,537000,538700,540100
"Los Angeles","CA","Los Angeles","Los Angeles",249400,252300,256000,260000,263800,267200,270000,271700,273400,275800,277400,279800,283300,287000,290400,295100,298700,300900,302800,305200,308100,311600,316100,319600,321900,323100,324700,326600,329400,332300,335400,339600,344800,349900,353800,356600,357900,360600,364800,368200,370300,373100,376600,380400,383800,388000,392700,395400,397600,400900,405100,408900,411300,413200,416200,419600,423700,429400,437200,446000,455000,464000,473100,481500,490200,498300,505100,513100,521900,528700,535300,544100,555600,567700,579400,591000,603400,617300,633700,652400,671900,692000,710400,725700,736400,744100,749100,754400,763500,775200,787500,799400,811800,824700,837600,850000,864600,881300,898100,911700,922200,929200,929700,926100,921700,919600,921000,923400,923800,923900,923200,921800,920900,921700,924800,925700,925800,926900,924200,917200,911800,907000,892300,871500,856700,851400,845000,836200,825700,813200,798700,788200,779600,768000,767900,772800,765000,748200,741000,737000,730900,718200,709900,709600,711700,711700,708200,708200,713500,715700,709900,706800,701900,696300,690500,682300,673000,668000,663400,658000,655700,653800,649200,642300,634100,629900,629900,627000,622300,621500,622300,620800,620200,620800,622400,621900,620600,623500,630200,631900,633900,642700,654100,662400,669700,676600,684000,697000,720600,742300,751400,771900,791700,791600,784900
"Philadelphia","PA","Philadelphia","Philadelphia",74700,75500,76400,76300,76400,77300,78200,78300,78000,77800,77900,78000,78000,78500,79100,80400,81900,82800,83300,84700,85400,85400,85600,87200,88600,88800,88100,88400,89500,91200,92600,93200,94200,95500,95200,94300,94600,94900,95000,95400,96300,97800,101000,103400,103200,103600,106400,109200,110500,112100,114600,116700,118000,118900,119900,122300,124000,125100,127600,130700,133000,136600,140900,143400,145600,146700,148300,149900,151100,152700,156200,159700,162700,165000,166900,170400,173700,176000,177900,181200,185800,190500,192300,193400,196700,200500,205600,209700,212700,217400,223900,226000,227500,230400,233300,236100,238000,240100,242100,245100,248700,250800,250200,253200,257800,260300,262800,264500,264800,265000,262700,259900,260500,262300,260200,261000,265600,268700,266000,264500,264900,265600,264000,263700,263100,264400,263500,260900,256500,254400,254300,255600,257500,258700,260500,259600,254700,246400,246300,249800,251300,251100,252800,251400,249500,249000,249900,251400,253400,253000,251600,249200,247800,247300,249100,248600,242500,236000,235200,235900,235200,237500,236800,232600,230400,231000,230700,232200,233500,233300,232000,229200,226500,223500,223200,224500,227900,229500,228000,227900,232900,237800,237600,235400,236600,244300,249000,247000,244300,244200,243900,243500,244600,244100,242000
"Phoenix","AZ","Phoenix","Maricopa",211200,211800,212800,214100,215100,217000,219300,221000,221400,222600,224900,226800,227900,228700,229400,230600,232000,233700,235200,236600,238700,241800,243900,245000,246100,248500,251100,252600,253600,255500,258000,259700,260700,262900,265400,267400,268400,269500,271200,272700,274200,276400,278600,280200,281800,283800,284800,284500,284100,285200,286800,288400,289000,289900,291800,294200,294100,293700,294700,296200,297000,296900,297300,298800,300700,303400,307200,308200,307200,304700,302100,302500,306500,309900,312300,315300,319200,320400,321200,324800,329900,334200,338700,343700,349200,356700,365700,375800,386400,394300,398200,405500,421200,440800,462600,485200,503400,516700,526900,535000,540300,540300,539100,541600,543700,542200,540800,536900,531300,527400,,525400,521000,515600,513900,515100,515300,512400,507800,501600,495600,488500,480600,471000,461400,456300,454100,448500,438300,428200,417200,406700,396700,387000,377100,365700,353200,343300,338400,333400,325500,318500,315700,312700,309000,307700,308100,310400,311600,308900,305600,305000,303800,300700,296600,292200,288100,285200,283000,,280600,279400,278600,278800,280700,282000,281100,280400,280400,281800,283700,284600,286900,292300,297200,298400,298100,302000,308500,315300,320000,323300,326700,329800,330800,332100,334900,340200,349300,357600,363100,369000,375200,378800,381200
"Las Vegas","NV","Las Vegas","Clark",179800,180300,181000,182000,183400,184700,186000,187400,188800,189700,189900,189500,189600,189000,188800,189200,190100,191500,192400,194000,194800,195600,195900,196200,197500,198900,200600,202500,204600,207100,208900,210400,211400,212100,212400,212300,213300,214100,215600,217700,220300,222900,224900,226800,228000,228700,228600,228800,229600,230500,231700,233500,235300,237200,239000,241400,243800,245800,246900,247300,248000,248500,249600,252100,255200,258400,261600,264900,267600,269400,270400,271800,274200,278300,284200,291700,299500,309000,319400,329600,342900,359500,382000,407300,434200,456000,471500,478900,483900,485200,485800,485400,487300,491100,494100,494500,493400,493400,497200,503300,510700,517500,522500,525800,527200,528500,527200,525200,522600,519800,516600,513800,511900,512600,511900,510000,505300,500900,494000,487200,479900,473300,464400,453900,439100,425000,420300,414200,408400,394700,386900,377500,365700,352700,341600,333900,324000,313300,299800,290500,282100,275400,267900,264100,260700,258500,255400,254500,255100,256500,257100,257900,257200,256400,253200,249900,247300,244900,243600,242100,242400,241700,239100,235200,232200,231100,229400,226600,223400,220800,219600,218100,218700,219400,219200,218700,218500,220500,222300,224900,227800,230500,233600,236400,241400,246300,250100,256700,265100,271400,274600,276800,284900,293000,300100
"San Diego","CA","San Diego","San Diego",224900,227200,229200,231900,235000,239100,243700,247500,250400,252600,255900,260800,264900,266900,269000,271400,273600,276700,280600,284600,288000,292300,296400,301200,306100,311100,315800,320800,325600,332200,339900,346900,352900,360600,368400,375800,382000,387500,392600,398400,404100,408700,413200,419600,426600,431600,435800,439600,444200,449200,454800,458600,461700,463400,465600,468800,475700,484800,495500,505000,513200,522600,532700,539700,544900,552400,560000,564100,565400,567900,571200,576600,587700,602800,616500,630800,649000,668400,684000,698200,717800,742500,762500,777100,784400,786000,786900,789900,791500,790500,789700,793100,800000,803700,804400,802700,803100,807100,811400,812700,808900,804400,805200,805100,799700,792800,789500,786600,784200,778100,769900,762400,759200,760400,767300,776600,777100,770000,762000,754700,747600,742000,740500,740400,741000,730200,711700,693300,682900,671800,665900,664200,660600,652800,646300,638100,631900,632800,633600,631300,627300,629600,634300,639800,643700,652200,659900,666000,669100,673200,675500,676300,676400,678100,677100,673800,670600,671200,668700,662900,658000,653100,649400,649700,648600,643300,639900,635600,633300,634600,635300,636100,636600,634200,630700,628500,628100,630900,633800,635900,641500,650100,658000,665500,675200,687500,698900,712900,730700,744500,749300,767700,783400,777700,766700
"Dallas","TX","Dallas-Fort Worth","Dallas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466300,461700,461300,463000,463100,461200,461700,460500,463500,468600,473100,476500,480100,480500,482800,487300,490700,495500,503100,509700,517400,527900,533200,532100,535900,543300,546600,547000,547300,550800,554800,559100,561100,565600,566900,569300,573900,581300,585700,589100,589300,591100,594100,594400,584200,562900,548100,551900,558000,556200,555900,561000,566600,564300,552800,547000,548400,547800,544700,537600,527100,523400,527000,530800,536400,540500,543000,544100,539300,531300,531100,535500,538500,537900,534400,528800,524500,523000,524500,527600,530700,534600,535100,530200,524300,519300,514300,513900,517900,516800,513200,512800,513800,514500,520400,528500,536400,546200,553600,549600,551700,562700,572700,578500,580400,577900,579100,589600,603300,619200,624900,624200,614700,603700
"San Jose","CA","San Jose","Santa Clara",350800,358100,364400,369900,373000,376200,381300,385200,387900,392800,399400,406800,413700,416700,417800,418900,420200,421600,424000,426700,427700,431700,439200,447900,455500,462900,469600,477500,488300,501200,514200,533500,562800,589100,602000,606600,613500,628100,652300,678400,698900,711200,718400,715500,698800,675300,655700,639800,629600,622600,613600,600200,592600,593200,600000,609900,626000,643400,656500,663300,662300,658500,657800,661200,659900,654400,651400,650000,645200,639600,639800,645500,656100,665000,670700,674600,681400,689700,695600,701600,708000,715900,726900,740500,751600,762100,773000,786600,803000,822100,839000,855000,869300,882200,888400,892900,899600,910800,919200,924500,927400,929100,928700,925500,923700,924300,924100,923900,925900,927500,924500,919800,918500,924800,929900,926600,921600,919400,916300,909200,906700,908000,909200,908900,907200,896900,885500,876500,870800,862300,850700,838000,824400,807300,792800,775600,756900,735700,717100,706300,698300,692100,698800,711300,718400,723300,732900,745800,754700,757200,759300,759400,758400,759900,760400,758700,752900,745900,740000,738100,730400,725600,723900,723800,722600,723500,723100,723000,724900,728900,728200,723900,724000,727500,729200,730100,734200,743700,757400,770200,778000,786400,796400,807000,821300,836500,845500,864800,892800,903600,905500,913500,924600,925500,923500
"Jacksonville","FL","Jacksonville","Duval",127300,127400,127500,128500,130000,131600,133200,134600,135400,136100,137400,139100,140600,141900,143600,146200,148600,151800,154600,155400,154800,155800,157000,157800,159700,162800,164500,164200,164800,167600,171700,174400,175500,176300,178400,180100,180600,181700,184100,186300,187000,187800,190700,194800,197200,198200,200000,202800,204500,205200,207700,211000,213300,215200,216200,216300,218000,219900,220700,220800,221300,221500,222400,223800,225000,226800,230000,233600,235900,237800,240500,244500,248200,251000,252800,255100,256900,259100,261600,263800,265100,266400,268400,272100,275900,280200,284400,287900,292400,296900,300100,304600,311300,318100,324400,330400,338000,344400,347600,350400,357100,363800,366200,367100,371000,376600,380000,380100,378200,377400,376900,376400,374700,370100,365900,365600,366200,365900,364300,360100,355300,351900,347600,344200,340700,337300,334300,328100,322000,316400,309500,303800,302700,299600,297500,294700,290500,286600,284400,282100,279800,276800,273600,271300,268300,266600,267100,267400,264300,260100,257200,255600,255100,255100,255500,253800,249900,247100,244400,240700,238700,238000,238300,236600,230400,225700,226100,226300,227000,228100,227300,227600,229800,229800,226700,226600,228700,229100,228900,230600,229300,228700,231200,233600,234700,237000,240000,243400,246400,248000,249300,254300,260500,263300,263800
"Indianapolis","IN","Indianapolis","Marion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183100,182600,182400,181600,180600,179500,179700,181800,188400,195100,197900,194800,191700,190400,191400,192300,193000,194100,195300,197100,200800,204500,203700,200800,200000,199200,197500,197700,199100,201000,203100,202800,205200,211000,213000,211500,210100,207200,204700,205700,208900,210900,208900,208300,206600,201100,197800,200100,202400,204900,208300,212300,215600,215300,211100,202500,189000,180100,179300,181800,186000,190800,192800,192100,191900,191300,192000,192800,192400,188100,185000,186800,189100,188900,188100,185100,177900,171000,168900,173100,178600,183000,188000,190600,189100,187500,188500,188700,188200,189300,192300,193900,195900,199600,200100,196400,193700,193900,194800,194400,196900,204900,213700,217900,221800,227100,229500,230400,232500,235000,235100,238800,245600,251900
