"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2013-09-30,"New York","NY","New York","Queens",0,2065,0.0157402852926709,0.0222772277227723,0.0584315735520246,502268
2013-09-30,"Los Angeles","CA","Los Angeles","Los Angeles",1,2344,0.00773860705073087,0.0112165660051769,0.0253718285214348,583900
2013-09-30,"Chicago","IL","Chicago","Cook",2,1553,0.0110677083333333,0.0223831468071099,0.0367156208277704,548648
2013-09-30,"Houston","TX","Houston","Harris",3,1264,0.0039714058776807,0.0112,0.0533333333333333,477851
2013-09-30,"Philadelphia","PA","Philadelphia","Philadelphia",4,1070,-0.00649953574744661,0.0103871576959396,-0.015639374425023,475024
2013-09-30,"Phoenix","AZ","Phoenix","Maricopa",5,1063,0.00472589792060491,0.00949667616334283,0.0172248803827751,413801
2013-09-30,"Las Vegas","NV","Las Vegas","Clark",6,1145,0.00526777875329236,0.0123784261715296,0.0204991087344028,425785
2013-09-30,"San Antonio","TX","San Antonio","Bexar",7,1060,0.00760456273764258,0.0162991371045062,0.0474308300395257,351406
2013-09-30,"San Diego","CA","San Diego","San Diego",8,2164,0.00604370060437006,0.0131086142322097,0.0255924170616114,313372
2013-09-30,"Dallas","TX","Dallas-Fort Worth","Dallas",9,1181,0.00169635284139101,0.0051063829787234,0.0469858156028369,267644
2013-09-30,"San Jose","CA","San Jose","Santa Clara",10,2569,0.0078462142016477,0.0170229612034838,0.0413457640859343,209786
2013-09-30,"Jacksonville","FL","Jacksonville","Duval",11,1083,0.00185013876040703,0.00463821892393321,0.0324118207816969,263088
2013-09-30,"Indianapolis","IN","Indianapolis","Marion",12,1036,0.00778210116731518,0.0247279920870425,0.0593047034764826,249878
2013-09-30,"San Francisco","CA","San Francisco","San Francisco",13,3447,0.0132275132275132,0.0123348017621145,0.0505943309966474,139375
2013-09-30,"Austin","TX","Austin","Travis",14,1644,0.00611995104039168,0.0281425891181989,0.0731070496083551,186473
2013-09-30,"Columbus","OH","Columbus","Franklin",15,979,-0.00406917599186165,-0.00910931174089069,-0.0268389662027833,212909
2013-09-30,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",16,1204,0.00837520938023451,0.0160337552742616,0.029940119760479,201268
2013-09-30,"Detroit","MI","Detroit","Wayne",17,733,0.0027359781121751,-0.00272108843537415,0.0124309392265193,322468
2013-09-30,"Charlotte","NC","Charlotte","Mecklenburg",18,1152,0.00173913043478261,-0.000867302688638335,0.0249110320284698,230005
