"RegionName","State","Metro","CountyName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09"
"New York","NY","New York","Queens",1.4049,1.5683,1.9413,1.568,1.4814,1.2757,1.4364,1.1812,1.2096,1.32,1.47,1.2607,1.565,1.5284,1.6756,1.2835,1.6093,1.5308,1.3809,1.4056,1.1737,1.0618,1.4514,1.4888,1.4882,1.3484,1.6549,1.8877,1.9876,1.865,1.7999,1.6391,1.6081,1.3012,1.3625,1.6547,2.0425,2.0037,1.8104,2.1859,1.8884,2.1707,2.1952,2.2667,1.4357,1.3878,1.8213,1.6454,1.7811,1.5988,1.6441,1.1373,1.2688,1.3296,1.7556,1.5888,1.798,2.3586,1.8999,1.7885,1.5338,1.5102,1.3907,1.3997,1.0702,1.0258,0.9092,1.0994,0.9768,0.9784,0.8862,1.0141,0.8459,0.8481,0.7923,0.7183,0.7906,0.7969,0.8155,0.8306,0.9521,0.9383,0.8412,0.7713,0.8377,0.6945,0.6449,0.616,0.7626,0.7172,0.66,0.6859,0.6831,0.5942,0.6556,0.7514,0.7722,0.668,0.6131,0.5973,0.502,0.5273,0.4731,0.6374,0.5564,0.5779,0.6037,0.6312,0.4959,0.3915,0.2813,0.2271,0.2176,0.2435,0.3042,0.4392,0.3339,0.5117,0.3933,0.444,0.5442,0.8759,0.8853,0.883,0.9078,1.0831,1.1195,1.4802,1.7212,2.1961,2.7487,2.8901,3.312,4.31,4.4789,5.0885,5.6795,5.521,5.0811,4.9235,4.2296,4.7341,4.4948,4.6314,4.1111,4.3808,4.4688,4.7108,4.5941,4.1798,3.524,3.9331,3.3584,3.5968,3.5435,3.2105,2.71,2.8405,2.8727,2.8781,2.5674,2.3486,2.2227,2.1733,2.1056,2.1428,1.91,1.8148,1.8815,2.3091,2.3735,1.9626,1.7352,1.7352,1.3834,1.2186,1.1918,1.1365,1.1528,1.1191,1.0939,1.3973,1.4328,1.3396,1.2064,0.9395,0.7593,0.7019,0.758
"Los Angeles","CA","Los Angeles","Los Angeles",20.3292,22.6639,22.2876,19.9043,17.7257,16.592,15.6308,15.1902,14.7397,14.1677,14.0885,13.9556,15.1557,16.4261,16.1165,14.3089,12.7316,11.6748,12.1091,12.2102,12.5,13.116,12.7943,12.2408,12.3341,12.0933,11.153,10.3602,9.9227,9.9821,9.9091,9.0984,8.6344,8.8047,8.357,8.1581,8.2893,9.0424,8.1448,7.3296,6.7449,6.072,5.9046,5.7556,5.8045,6.0183,5.9269,6.4867,6.5053,6.2583,6.1892,6.41,6.0998,5.6881,5.6499,5.3621,5.0738,4.9337,4.9324,4.627,4.795,5.2168,5.0683,4.3148,3.6609,3.554,3.4371,3.266,3.2149,3.0955,2.987,2.7814,2.6206,3.193,3.1241,2.7945,2.3004,1.9801,1.8423,1.9097,1.8232,1.7365,1.6148,1.6007,1.885,1.803,1.7214,1.3375,1.23,1.1795,1.1784,1.1675,0.9433,0.9362,0.8583,0.8801,0.9708,1.0794,1.0125,1.1737,1.2278,1.2915,1.1978,1.0461,1.2436,1.4233,1.5757,1.7877,1.8497,2.0495,2.3293,2.3264,3.0314,3.429,4.0383,4.438,5.3119,6.6042,7.8487,9.4837,13.3734,17.6807,19.8935,20.234,21.7064,24.4776,27.8956,29.1374,31.7049,33.5803,35.7841,40.7316,44.68,46.8077,45.2125,43.2453,42.1226,39.1384,36.3545,34.2171,31.7991,29.631,28.6796,27.3483,28.3088,29.6804,29.4764,28.019,25.5347,24.7431,24.7819,24.9143,24.8998,24.5003,24.5912,24.8265,27.0577,27.981,28.1737,26.2827,24.6188,25.1993,25.2158,25.1668,25.9795,27.3608,27.1065,27.7839,28.7016,28.661,28.7565,27.5854,26.2611,24.156,22.697,19.9112,18.5549,17.9606,16.1228,15.3671,15.3746,16.6512,15.727,14.4528,12.5418,10.5898,9.6447,8.5514,8.1812
"Philadelphia","PA","Philadelphia","Philadelphia",0.241,0.4621,0.6168,0.5921,0.3958,0.2093,0.1962,0.2981,0.3005,0.206,0.3401,0.5273,0.5733,0.4194,0.5306,0.5022,0.3624,0.3522,0.4164,0.4411,0.3608,0.2104,0.2842,0.2633,0.3727,0.6023,0.6059,0.5709,0.5494,0.4724,0.3824,0.4334,0.439,0.5178,0.5884,0.5211,0.5702,0.6271,0.7565,0.6623,0.7702,0.752,0.8515,0.7478,0.6993,0.6732,0.6686,0.6481,0.6525,0.691,0.7664,0.6231,0.6278,0.6163,0.6902,0.6871,0.5939,0.582,0.6864,0.8259,0.7622,0.7489,0.652,0.6586,0.5441,0.5061,0.5433,0.8749,1.194,1.2106,1.5909,1.7902,1.9063,2.381,3.2308,3.7657,4.0945,4.1093,4.1954,4.5395,4.5014,4.5854,4.7167,4.9051,4.9274,5.4214,5.5261,5.4239,5.2156,4.9318,4.8635,4.5823,4.8619,5.1421,4.9126,5.0795,5.0368,5.5274,5.5544,5.6274,5.7384,5.2302,4.6591,4.4384,4.3556,4.6331,4.6251,4.6783,4.8708,5.0729,5.2374,5.7934,6.1775,6.4592,6.2265,5.6065,5.3311,5.797,7.4999,7.426,7.9273,8.5292,8.7016,7.9438,6.6617,7.0164,7.588,7.9451,8.5818,9.4419,10.7262,10.3572,10.4846,12.3928,14.3848,14.15,13.8223,12.9854,11.1681,10.5625,10.0158,11.1064,10.0843,9.6807,11.2125,14.3321,14.5264,13.6007,12.2157,12.0094,12.4676,15.009,14.842,14.5043,13.1839,11.8291,12.4603,13.9988,13.978,13.0455,11.8799,11.0781,10.4727,10.649,10.7166,11.1395,10.9092,11.1763,10.8916,11.0264,10.4841,10.2603,9.8363,9.7335,9.3469,9.5597,9.4819,9.726,9.0669,9.4056,10.9987,12.1897,13.2698,13.4783,13.177,11.8742,11.3522,11.8694,12.174
"Phoenix","AZ","Phoenix","Maricopa",2.3006,2.0896,1.9766,1.9204,1.9154,1.7525,1.7391,1.9805,2.3402,2.6746,2.7281,2.8104,2.8981,2.641,2.2678,2.2751,2.4612,2.3311,2.4484,2.6472,2.5304,2.4846,2.6882,3.0694,3.177,3.5791,3.3833,3.3912,2.8014,2.5,2.5281,2.5194,2.6719,2.8286,2.9714,3.3933,3.233,3.2539,3.2808,2.849,2.5102,2.2379,2.5851,2.6308,2.617,2.828,2.9961,3.0236,3.4648,4.1382,4.6087,4.5166,4.091,3.9271,3.9118,3.8443,3.3822,3.1206,3.4844,3.4324,3.4559,3.2061,3.1162,2.8699,3.0547,3.3829,3.4367,3.3519,3.352,3.8475,4.1998,4.6915,4.7315,5.0588,4.7962,4.1988,3.7635,3.6109,3.8332,3.9075,4.0782,3.8799,3.8095,3.6691,3.609,3.4686,3.3209,2.9252,2.74,2.6212,2.3965,2.2301,1.8649,1.739,1.715,1.752,1.6243,1.4734,1.3349,1.2974,1.2144,1.2905,1.2711,1.1085,1.03,1.0481,1.1223,1.1393,1.2341,1.4109,1.6127,1.8808,1.8231,2.1715,2.3971,2.5351,2.6748,3.2327,4.4722,6.1077,8.6662,11.9282,15.9634,19.7052,21.6656,24.5888,31.4992,37.4584,40.8116,45.1488,52.6998,59.4999,64.6849,67.7469,70.0805,70.6572,69.5411,66.2722,62.4709,59.0973,56.1625,52.1311,47.6959,47.174,49.6326,50.0568,50.259,49.4889,48.2099,44.9671,44.6482,45.6337,47.9085,50.5045,52.4815,53.6538,53.4123,52.5308,53.3943,52.6506,50.9181,47.7886,46.433,45.1841,42.8222,41.5159,37.8712,34.793,33.4625,32.8332,30.7123,28.8337,26.5099,23.1556,21.9268,18.5684,17.7835,17.1562,17.3626,18.8998,19.7205,19.114,17.7489,16.1737,15.385,14.5108,13.7634,13.6963,13.0698
"Las Vegas","NV","Las Vegas","Clark",2.4457,2.2321,2.1179,2.3217,2.243,2.354,2.5194,2.8125,3.5232,3.5608,3.2318,3.7307,3.1293,3.4729,3.4242,3.3988,3.3626,3.7526,3.9477,3.9783,5.075,5.5857,6.3115,7.8388,7.0583,5.6381,5.6521,5.1954,4.9895,5.0003,5.2369,5.425,6.0421,6.2694,6.5227,6.8898,6.2796,5.4484,4.5191,4.4043,4.4288,4.4109,4.3967,4.2157,4.5021,4.6613,4.8635,5.3999,5.374,5.4941,5.9776,6.18,5.5563,5.3208,5.2656,5.3788,5.8601,6.4998,6.9588,6.9447,6.3766,5.4167,5.3057,5.3617,5.3563,5.2291,5.2104,5.3643,5.4483,6.0328,6.6244,6.7972,5.4907,4.8287,4.2199,3.8334,3.3941,3.1342,2.7771,2.774,2.6853,2.5142,2.5051,2.7895,2.2244,1.8675,1.5227,1.4674,1.3346,1.24,1.1867,1.0307,0.9626,0.9066,0.9487,1.0101,0.9787,1.0264,0.987,0.8742,0.8179,0.7556,0.7563,0.8787,0.9956,1.1297,1.1168,1.4052,1.6214,2.0523,2.2459,2.3224,2.8144,3.4513,3.8956,4.2061,5.0979,5.9394,7.2268,9.0481,14.2402,18.9109,21.7388,24.707,28.8227,32.7731,37.0934,39.8403,41.6947,44.6513,47.0995,49.1703,49.6567,49.9739,51.2143,53.6335,55.8378,54.9762,54.3296,52.4605,51.5529,50.2549,48.53,47.5542,45.2337,40.4596,38.4926,36.3625,34.6915,32.3346,32.6472,33.9316,33.9039,35.5191,32.6805,36.6514,36.9155,39.3192,40.0485,41.1897,40.9196,41.9205,43.5368,44.213,43.2259,41.8731,40.7625,39.7122,38.8828,37.1597,36.3908,34.3155,30.916,25.9308,22.3955,18.5934,16.1703,14.544,13.2085,12.4264,12.285,11.051,11.097,13.106,13.9108,13.2592,12.8475,12.8819,12.8131
"San Diego","CA","San Diego","San Diego",6.8815,6.6867,6.4868,6.0017,5.933,5.238,4.9891,5.1016,4.9431,4.3264,4.3656,4.4247,4.8817,4.5864,4.7444,4.1859,3.5681,3.8503,3.7899,3.9503,3.9131,4.2134,3.6645,3.3889,2.8766,2.9933,2.6772,2.5078,2.0424,2.3632,2.3136,1.8947,1.6555,1.9266,2.0581,1.9413,1.5971,1.5383,1.4166,1.4823,1.228,0.9728,0.8202,0.8425,0.7522,0.7151,0.8602,1.0745,1.1658,1.1199,1.1317,0.9811,0.8752,0.919,1.0525,0.8968,0.6754,0.5216,0.5516,0.5568,0.4905,0.4278,0.4079,0.5521,0.4544,0.5185,0.4757,0.3867,0.4063,0.4518,0.4164,0.4379,0.3604,0.2952,0.293,0.3187,0.2998,0.299,0.3448,0.3103,0.3129,0.1779,0.2002,0.2038,0.2735,0.2097,0.1837,0.2976,0.269,0.209,0.23,0.222,0.2227,0.2684,0.3208,0.2559,0.4363,0.5064,0.5616,0.7111,0.7485,0.6888,0.6345,1.0018,1.1723,1.1318,1.1293,1.9958,2.7371,2.5608,3.0238,4.2102,4.4816,5.4458,6.6439,7.3059,9.8315,10.8912,12.9273,14.4588,16.7039,20.9814,22.9697,24.877,24.9474,27.0428,28.8337,29.9536,32.8919,34.9851,37.6389,38.6215,42.3982,43.9464,43.9153,41.8162,38.7082,33.4324,29.238,26.9446,26.4118,26.6975,25.4041,26.0977,28.4386,30.6023,28.3465,24.8932,22.9376,21.6034,22.2331,23.8832,23.5994,24.1974,22.7832,22.4987,23.6882,26.3378,27.0831,25.9737,26.1142,25.0736,25.128,24.3433,22.9582,22.5931,22.7137,22.0454,22.6901,23.8216,22.8321,20.4514,17.6804,16.2087,14.2757,12.4759,11.0492,10.7035,11.0893,10.4674,12.5006,13.1987,11.6159,8.9728,7.4325,6.7736,5.467,4.7724,4.1423
"Dallas","TX","Dallas-Fort Worth","Dallas",1.8405,1.8106,1.6312,1.2098,1.2076,1.477,1.5051,1.45,1.7253,2.6687,2.6175,2.3902,2.0563,2.4368,2.4201,2.1275,1.8688,1.5341,1.5793,1.7668,2.0929,2.781,2.5611,2.6138,2.6307,2.7375,2.421,2.6199,2.0942,1.9323,2.4639,2.0416,1.7597,1.9023,2.2607,2.131,2.7275,2.568,2.5849,2.1063,1.7365,1.6269,1.8209,2.0674,2.5077,2.8196,2.9206,2.5288,2.3233,2.3578,2.8174,3.1057,2.9484,3.4405,3.5553,3.2843,3.5844,3.4377,3.7055,3.8019,4.163,4.7484,5.0094,4.9238,3.8599,4.0661,3.9447,4.3206,4.9215,5.4728,5.8259,5.9182,7.3,7.4279,7.4242,7.1088,6.6746,5.9014,6.2138,6.7179,7.3754,6.9474,6.6915,6.8835,7.389,8.3953,8.709,8.9577,8.2757,8.2031,7.6664,7.777,7.527,7.248,7.3066,7.1422,7.8718,8.2291,9.392,9.6344,9.1828,8.9508,8.821,8.9035,10.3469,11.9737,11.9008,11.8777,12.4446,12.8505,12.7527,11.3765,10.7772,10.0791,10.2497,11.021,11.3501,12.9279,13.3134,12.8879,15.3993,16.23,16.4729,15.3103,14.3894,14.368,14.4244,15.0107,15.6441,17.4466,20.7518,22.2041,22.6114,19.6841,19.7061,20.3333,20.7763,18.1198,16.6104,16.2173,17.6155,16.1871,15.3469,17.4444,19.7675,18.4572,18.9698,19.5178,19.3054,17.2121,17.6896,19.0945,20.4644,20.1916,19.7967,18.6557,19.4578,18.7434,18.5237,20.0073,19.3846,16.8781,16.9271,15.9927,17.2082,19.2155,20.1949,19.8988,21.3058,20.1397,18.8423,16.4368,14.4347,14.5827,13.7327,13.4257,14.1551,17.1155,17.4315,15.4371,16.8872,18.8197,16.384,12.6284,9.8135,9.2779,9.1783,9.5723,9.4154
"San Jose","CA","San Jose","Santa Clara",2.0652,1.532,1.3863,1.3409,1.4222,1.1937,1.3217,1.0827,0.8198,0.7493,0.6207,0.9728,0.9932,1.1198,1.0189,1.1445,0.9606,0.8851,0.7354,0.7674,0.6555,0.7246,0.6473,0.5992,0.6783,0.6405,0.6606,0.5872,0.582,0.5258,0.4944,0.5265,0.4749,0.4278,0.4141,0.503,0.4866,0.3092,0.2671,0.5143,0.4795,0.3796,0.3909,0.2582,0.1661,0.123,0.329,0.2048,0.3223,0.342,0.5639,0.5431,0.479,0.4269,0.3539,0.5483,0.5728,0.6079,0.6161,0.9627,0.9321,0.9292,0.8998,0.8508,0.8058,0.9301,1.1354,1.0901,1.0494,1.0764,1.5577,1.2966,2.1755,2.5829,2.3048,1.8049,1.5382,1.2044,1.0972,1.0555,1.2021,1.1255,0.8497,0.8417,0.8279,0.7941,0.9532,0.7812,0.5832,0.5655,0.4235,0.4832,0.4811,0.2885,0.355,0.3463,0.3786,0.4623,0.4073,0.3178,0.4653,0.4305,0.6052,0.7603,0.8764,0.8869,0.8874,1.0677,1.0437,1.2888,1.8827,2.1185,1.7137,1.5665,1.7436,1.7592,3.5977,3.8861,4.285,5.4779,9.0526,11.7701,13.3818,16.4467,19.0374,21.2795,23.3128,25.5397,30.8016,35.5178,38.9982,41.8328,46.4062,49.7704,48.9771,47.9339,45.0191,41.0706,35.5617,33.1783,31.0724,28.2996,26.4292,26.0557,26.5313,25.9682,24.7532,23.7044,22.0064,21.2055,20.254,18.7401,18.7039,20.1844,21.0344,21.9753,26.5419,27.7622,26.9448,23.1827,20.9131,20.7345,21.2732,21.13,19.7773,19.9623,19.3058,20.0086,21.8487,23.0183,22.1385,20.6714,18.4975,16.2231,14.6801,12.8264,10.9545,10.4638,9.3831,9.0328,10.2867,11.5306,10.6927,8.2857,6.2096,4.7554,4.3012,3.974,3.8176
"San Francisco","CA","San Francisco","San Francisco",1.3781,1.2385,1.1983,0.9546,1.016,0.9249,1.051,1.1222,1.0879,0.8856,0.5844,0.5903,0.7739,1.0467,1.0431,1.0813,1.3353,1.1751,0.9311,0.838,0.658,0.5847,0.2721,0.5084,0.4009,0.5084,0.5475,0.3026,0.4085,0.5273,0.5686,0.5491,0.4429,0.6011,0.629,0.3286,0.671,0.407,0.2804,0.1902,0.2066,0.1004,,0.3832,0.4016,0.6639,0.3589,0.2381,0.1989,0.6126,0.7787,0.4985,0.3784,0.1678,0.1392,0.2113,0.6938,0.7827,0.5992,0.317,0.3891,0.3429,0.6019,0.8142,0.7727,0.6081,0.4126,0.4086,0.3475,0.3613,0.6604,0.7289,0.7732,0.8302,0.6436,0.6302,0.5398,0.4273,0.3596,0.1725,0.2615,0.5111,0.5226,0.4017,0.3807,0.3876,0.4669,0.2451,0.2144,0.1508,0.1481,0.4119,0.3393,0.3099,0.3685,0.4685,0.3942,0.4072,0.204,0.242,0.2731,0.3723,0.1954,0.4459,0.7136,0.5163,0.5418,0.7256,1.2048,1.3849,1.2073,0.8201,1.327,1.3772,1.0563,1.2426,1.397,1.8058,2.2446,3.4746,4.1006,4.6341,3.3171,3.3056,3.1725,4.3402,4.3111,4.9704,5.1621,6.7668,7.586,9.3329,11.053,11.5963,10.9665,9.3715,8.4012,7.562,7.4339,8.8833,9.3058,8.1417,7.7857,7.8822,9.3971,11.8582,11.3501,9.6667,8.73,8.3033,8.7631,8.3536,9.9292,10.5362,8.6394,10.1015,11.4205,12.5201,10.9913,10.1221,8.2997,7.6017,7.3166,8.8716,10.3859,9.5526,8.8527,10.407,12.0629,11.9499,10.0336,8.6569,8.2922,7.9649,7.4109,6.7679,6.2225,6.0889,5.8422,6.1757,8.0626,9.1842,7.0456,5.5412,4.2171,4.2467,4.3513,3.7089,2.9364
"Columbus","OH","Columbus","Franklin",1.5064,2.0858,2.1831,1.9709,2.0297,1.9402,1.8665,1.7552,2.1307,2.0532,2.765,2.9078,2.895,3.3855,3.8476,3.3781,2.7406,2.4958,2.1604,2.4233,2.9858,3.0053,2.9035,3.2395,3.2496,3.5005,3.5784,3.6085,2.9055,2.7804,2.663,2.7413,3.1772,3.4919,3.7924,4.1575,5.0662,5.2336,5.1069,5.3257,4.2645,3.7568,3.2771,3.7532,4.1587,4.4552,4.5457,4.4556,4.9779,5.9958,6.1136,6.2609,5.3083,4.5779,4.3311,4.5214,4.8049,4.9946,5.5843,5.9767,7.0199,6.8227,7.5293,7.5517,7.3086,6.7136,6.6414,6.4304,6.1067,7.4128,7.8809,8.9488,10.3619,11.0358,11.3852,10.5356,10.1534,8.6821,8.9634,9.3426,9.1901,9.4714,9.562,10.2038,11.8683,13.3108,13.9954,13.3967,11.8505,9.9926,9.7318,9.7077,10.0975,11.1316,12.6449,12.8034,14.6467,15.758,15.7889,15.2305,14.2167,11.8754,10.8751,10.4003,12.3071,13.2123,14.3643,15.9976,17.2199,17.7942,19.9444,20.0158,19.2585,17.0659,15.9946,15.9909,17.6535,19.5775,21.4518,22.4344,26.0917,28.8013,29.4918,30.6067,26.7,22.5489,22.5004,25.2823,28.1243,29.8694,33.9578,35.7541,40.5904,41.7786,40.4564,36.9469,31.8711,27.2442,21.8612,19.9187,18.3958,17.5026,18.8884,23.0089,32.1807,33.5414,31.4302,29.3077,28.1461,24.9833,28.3158,30.565,32.6596,30.472,30.0661,28.1191,29.9235,35.5826,38.3704,38.3542,34.0795,32.5019,29.6904,26.6137,24.656,25.1528,26.5448,25.5455,26.2734,29.0476,27.5006,23.032,20.5194,20.822,20.4925,21.088,22.2057,22.6349,20.5504,22.4539,25.6534,29.7671,31.3068,27.9456,25.7723,22.7014,20.5238,18.8771,21.2841
