"RegionName","State","Metro","CountyName","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09"
"New York","NY","New York","Queens",0.9478,0.9494,0.9466,0.9382,0.9376,0.9347,0.9305,0.9266,0.9269,0.9351,0.9366,0.9365,0.9402,0.9431,0.944,0.9468,0.9442,0.9413,0.9436,0.9402,0.9413,0.9448,0.9479,0.9505,0.9498,0.9475,0.9488,0.9454,0.9436,0.9423,0.9435,0.9467,0.946,0.947,0.9491,0.9479,0.9453,0.9412,0.9421,0.9437,0.9432,0.9441,0.9442,0.9471,0.9513,0.9552,0.9584,0.9589,0.9572,0.9567,0.9576,0.9576,0.9573,0.9573,0.9584,0.9606,0.964,0.9672,0.97,0.9711
"Los Angeles","CA","Los Angeles","Los Angeles",0.9619,0.9655,0.968,0.9695,0.9685,0.9721,0.9758,0.9804,0.9818,0.9832,0.9859,0.9928,0.9951,0.998,0.9972,0.9926,0.9869,0.9878,0.9898,0.993,0.9941,0.9889,0.9859,0.9843,0.9816,0.98,0.9793,0.9787,0.978,0.9766,0.9777,0.9793,0.9802,0.9782,0.9776,0.9768,0.9777,0.9784,0.9777,0.9777,0.979,0.9799,0.9816,0.9852,0.9913,0.9968,0.9964,0.9979,0.9967,0.9983,0.998,0.9991,0.9996,1,1,1.0007,1.0026,1.0027,1.0016,1.0005
"Chicago","IL","Chicago","Cook",0.9522,0.9448,0.9411,0.937,0.9322,0.9342,0.9384,0.9405,0.9444,0.9472,0.9469,0.95,0.9515,0.9539,0.956,0.9559,0.9569,0.9556,0.955,0.9553,0.9554,0.9559,0.9565,0.9546,0.951,0.9483,0.9484,0.9493,0.9509,0.9531,0.9535,0.9555,0.9545,0.9536,0.9505,0.9509,0.9496,0.9509,0.9493,0.9488,0.9512,0.9535,0.9522,0.9545,0.9585,0.9609,0.9617,0.9621,0.961,0.9628,0.9616,0.9618,0.9664,0.9671,0.9713,0.9757,0.9784,0.9793,0.9801,0.9805
"Philadelphia","PA","Philadelphia","Philadelphia",0.9499,0.9451,0.9377,0.9377,0.9241,0.9238,0.9334,0.9482,0.9527,0.9558,0.9564,0.9555,0.9555,0.9546,0.9548,0.9525,0.9506,0.9453,0.9489,0.9588,0.9635,0.9599,0.9508,0.9445,0.9361,0.9346,0.9356,0.94,0.942,0.9456,0.9443,0.9466,0.9497,0.9472,0.9456,0.9472,0.9444,0.9403,0.9414,0.9377,0.9309,0.9332,0.9399,0.9461,0.9519,0.9539,0.9545,0.9522,0.9463,0.9449,0.95,0.9513,0.9475,0.9421,0.9441,0.9522,0.9594,0.9629,0.9611,0.9586
"Phoenix","AZ","Phoenix","Maricopa",0.948,0.9434,0.9429,0.9414,0.9359,0.9308,0.9436,0.953,0.9647,0.9806,0.9935,0.9992,1,1,0.9966,0.9976,0.993,0.9901,0.9914,0.9963,0.9947,0.9896,0.9803,0.9727,0.9707,0.9722,0.9689,0.9688,0.9733,0.9733,0.9765,0.9818,0.9985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9968,0.9939,0.9902,0.9877,0.9899,0.9903,0.9912,0.991,0.9901,0.9885,0.9855
"Las Vegas","NV","Las Vegas","Clark",0.9626,0.9688,0.9736,0.975,0.9753,0.971,0.9703,0.9771,0.9903,0.9978,1.0004,1.0086,1.0065,1.0058,1.0034,1.0021,1.0006,1.0001,1,1,1,1,1,1,0.9944,0.9903,0.9873,0.9828,0.9852,0.9901,0.9894,0.9887,0.9912,0.9939,0.9961,0.9953,0.992,0.9905,0.9901,0.9904,0.9919,0.9934,0.997,0.9992,1,1,1,1,1,1,1,1,1.0081,1.015,1.0089,1.0028,1,1,1,1
"San Diego","CA","San Diego","San Diego",0.9639,0.9651,0.9638,0.9653,0.9686,0.9749,0.9765,0.9782,0.9756,0.9797,0.9854,0.99,0.9898,0.9876,0.9877,0.9887,0.9887,0.9895,0.9899,0.9902,0.9857,0.9827,0.9804,0.979,0.9783,0.9777,0.9763,0.974,0.9725,0.9733,0.9723,0.9739,0.9739,0.9744,0.9727,0.971,0.9719,0.9711,0.9716,0.9697,0.9713,0.9736,0.9783,0.9798,0.982,0.9839,0.9847,0.9864,0.988,0.9885,0.9892,0.9912,0.9942,0.9971,0.9991,0.9998,1,1,0.9969,0.9918
"Dallas","TX","Dallas-Fort Worth","Dallas",0.968,0.9569,0.9556,0.9607,0.9664,0.9632,0.9622,0.9587,0.9661,0.9675,0.9607,0.9639,0.9665,0.9679,0.9675,0.9722,0.9667,0.9672,0.9716,0.9768,0.9732,0.969,0.9627,0.958,0.9576,0.9589,0.9558,0.9526,0.9489,0.9469,0.9468,0.9453,0.9511,0.9561,0.9567,0.9544,0.9526,0.9529,0.9569,0.9617,0.962,0.9612,0.9617,0.963,0.9628,0.9653,0.9617,0.9711,0.9787,0.978,0.9753,0.9751,0.9773,0.9815,0.9854,0.9867,0.9874,0.9881,0.987,0.9781
"San Jose","CA","San Jose","Santa Clara",0.9713,0.9728,0.9725,0.9728,0.9711,0.9723,0.9748,0.9789,0.9827,0.9856,0.9932,0.9981,1,1.001,1.0008,1.0008,1.0003,1.0002,1,1,1,1,0.9965,0.9938,0.9896,0.9889,0.9855,0.9858,0.9859,0.987,0.987,0.9876,0.9878,0.9878,0.9874,0.9857,0.9856,0.9875,0.9892,0.9912,0.9932,0.9953,0.998,1.0002,1.0036,1.0087,1.0087,1.0099,1.0127,1.0148,1.0182,1.02,1.0268,1.0369,1.047,1.0488,1.048,1.0421,1.0317,1.0202
"Jacksonville","FL","Jacksonville","Duval",0.9391,0.9333,0.9283,0.9259,0.925,0.9282,0.9353,0.9401,0.9382,0.938,0.9405,0.9451,0.952,0.9556,0.9599,0.9544,0.9526,0.955,0.9551,0.9537,0.9555,0.9556,0.9525,0.953,0.9489,0.9492,0.95,0.9536,0.9562,0.9546,0.9505,0.9538,0.9533,0.9507,0.9512,0.9531,0.9515,0.953,0.9545,0.9552,0.9555,0.9594,0.9594,0.9596,0.9588,0.9594,0.9545,0.9577,0.9586,0.958,0.9622,0.962,0.9606,0.9656,0.9692,0.9736,0.9734,0.9717,0.9731,0.9658
"San Francisco","CA","San Francisco","San Francisco",0.9854,0.9826,0.9768,0.9715,0.9719,0.9747,0.9734,0.9731,0.9781,0.9826,0.991,0.9898,0.9947,0.9922,0.99,0.9836,0.9908,0.993,0.9973,0.9988,0.9977,0.9967,0.9887,0.9862,0.9878,0.9886,0.9839,0.9809,0.9773,0.9832,0.9896,0.9943,0.9926,0.9872,0.9861,0.9897,0.9903,0.9942,0.9933,0.9909,0.9931,0.9976,1.0015,1.0078,1.0154,1.0174,1.0216,1.0264,1.0371,1.0343,1.0234,1.0185,1.043,1.0536,1.0675,1.0797,1.0934,1.0947,1.0802,1.0768
"Columbus","OH","Columbus","Franklin",0.9698,0.9604,0.955,0.9478,0.9502,0.9524,0.9563,0.9604,0.9637,0.9669,0.9699,0.9714,0.9727,0.9737,0.9771,0.9819,0.9833,0.9784,0.9749,0.9728,0.9724,0.9674,0.9552,0.9488,0.9511,0.9531,0.9545,0.9597,0.9551,0.9536,0.9578,0.9603,0.9572,0.9579,0.9609,0.959,0.9596,0.9629,0.9601,0.9578,0.9496,0.9532,0.961,0.9661,0.9693,0.97,0.9689,0.9688,0.969,0.9686,0.966,0.9665,0.9622,0.9639,0.9688,0.9731,0.9762,0.9778,0.9783,0.9763
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",0.9936,0.9802,0.9769,0.9777,0.9746,0.9813,0.9848,0.9905,0.9977,1.0001,1.0011,1.0015,1.0006,1.0045,1.0032,1.0014,1.0002,1.0015,1.0015,1.0024,1.0012,0.996,0.9876,0.9852,0.9794,0.9827,0.9823,0.9801,0.9789,0.9852,0.9842,0.9811,0.9791,0.9831,0.9798,0.9803,0.9816,0.9792,0.9792,0.9783,0.9828,0.9888,0.9915,0.9945,0.9976,0.9991,0.9943,0.9934,0.9944,0.9943,0.9896,0.9897,0.9923,0.9909,0.995,0.9963,0.9986,0.9977,0.9947,0.9907
"Detroit","MI","Detroit","Wayne",,,,,,,,,0.94,0.9738,0.9905,1,1.0002,1.0001,1.0001,1,0.9898,0.9929,0.9969,1,1,1,1,1,1,0.9717,0.9802,0.9689,0.9849,0.9935,0.995,1,1,1,1,1,0.9983,0.9988,0.9995,0.9727,0.9809,0.9768,0.9895,0.9955,1,1,1,1,0.9775,0.9843,0.963,0.9789,0.9737,0.9504,0.9686,0.9888,1,1,0.9911,0.983
"Charlotte","NC","Charlotte","Mecklenburg",0.9595,0.9538,0.9536,0.9539,0.9521,0.9531,0.9546,0.9589,0.9589,0.9596,0.9605,0.9606,0.9629,0.964,0.9609,0.9576,0.9585,0.9596,0.9603,0.9605,0.9606,0.9565,0.9546,0.9546,0.9528,0.9532,0.9528,0.9533,0.9517,0.9488,0.9506,0.9529,0.9537,0.9539,0.9543,0.9542,0.9542,0.9498,0.9535,0.9522,0.9532,0.9523,0.9591,0.9614,0.9642,0.9649,0.9654,0.9652,0.9656,0.9678,0.9675,0.9711,0.9726,0.9724,0.9714,0.9711,0.9719,0.9745,0.9735,0.9727
